Gene Symbol,HK index,Mixing ratio,Sigma,Zero (%),F-statistics
CTNNA1,0.89269,0.0546,0.51452,0.00131,4.1954
IK,0.89255,0.04479,0.58273,0.00394,3.93976
MRPL19,0.89253,0.07376,0.56506,0.00592,2.61652
PPP6R3,0.89239,0.08579,0.61791,0.00394,-0.38549
SNW1,0.89181,0.06508,0.54152,0,4.13426
SNRPA1,0.89147,0.07032,0.55922,0.00592,3.02006
CIRH1A,0.8909,0.06593,0.6136,0.00328,3.17362
WAC,0.8906,0.05675,0.67366,0.00394,2.83731
SMARCA5,0.89041,0.08193,0.56898,0.00065,3.09666
ARCN1,0.88993,0.07369,0.64218,0.0046,1.9471
POLR2L,0.88978,0.05807,0.51133,0.00131,4.20778
LAMTOR5,0.88974,0,0.7186,0.00065,3.92617
LUC7L,0.88937,0.06475,0.61394,0.0146,1.99519
CYCS,0.88866,0.01483,0.5791,0,4.79147
CCT2,0.88847,0.08286,0.39243,0,3.90994
SEH1L,0.88813,0.07681,0.58817,0.00131,3.23252
SNRPB2,0.88802,0,0.65729,0.00065,4.49297
SUMO1,0.88789,0.05009,0.58248,0.0046,3.93153
PSMG1,0.88778,0.07076,0.61686,0.00791,2.35933
SF3B4,0.88752,0.05078,0.5974,0.0046,3.85059
RPS21,0.8871,0,0.66583,0,4.60728
CENPN,0.8869,0.09246,0.56958,0.00131,2.19021
SSR4,0.88668,0.02077,0.7968,0.00065,2.33332
SEC62,0.88636,0.03488,0.67638,0.00197,3.89132
TRMT6,0.88588,0.05126,0.64788,0.00858,3.19944
SNHG1,0.88573,0.04535,0.76756,0.00262,1.89228
FKBP4,0.88492,0.01603,0.73234,0,3.9966
DNAJC7,0.8847,0.06664,0.58447,0.00725,3.29653
RRP15,0.88417,0.06105,0.62845,0.00658,3.25975
NARF,0.88394,0.03586,0.74513,0.00394,2.87726
PDCD11,0.88393,0.05188,0.65813,0.00197,3.78355
ZNHIT1,0.88264,0.03605,0.64973,0.00328,4.08162
RPL18,0.882,0,0.59459,0,5.04141
CMTM6,0.88182,0.03806,0.73781,0.0046,3.00177
EIF2S2,0.88175,0.08493,0.50474,0,3.8779
WBSCR22,0.88163,0.03653,0.65153,0.00065,4.32075
TPD52L2,0.88162,0.07523,0.61953,0.00131,3.37289
DEK,0.88149,0,0.675,0.00131,4.48679
MLF2,0.88126,0.03702,0.59668,0.00526,4.25281
ISCU,0.8812,0.0441,0.59805,0.00197,4.3939
MATR3,0.8811,0.0534,0.60439,0.00328,4.07531
