Gene Symbol,HK index,Mixing ratio,Sigma,Zero (%),F-statistics
TM9SF2,0.73391,0.07813,0.81678,0.01191,5.28745
ZDHHC3,0.7338,0.08538,0.74256,0.04511,5.09596
URB1,0.73349,0.08684,0.79596,0.08903,3.89341
ZNF468,0.73226,0.11486,0.78312,0.02001,4.46514
ZMPSTE24,0.7319,0.11802,0.75622,0.01393,4.83439
DNAJC10,0.73169,0.08358,0.73625,0.05303,5.12504
CAMLG,0.73161,0.10636,0.70858,0.03311,5.01832
TMEM126A,0.73152,0.07512,0.78976,0.02686,5.30242
WDR3,0.73113,0.09516,0.74345,0.02411,5.26831
TWF1,0.73112,0.12542,0.70582,0.02686,4.72866
NSL1,0.73084,0.10908,0.66852,0.04583,4.98024
YIPF5,0.73025,0.10316,0.77189,0.03872,4.52772
ARL16,0.72981,0.07885,0.81192,0.05014,4.65131
MAGOH2,0.72959,0.10277,0.66761,0.0444,5.19306
PPM1A,0.72914,0.09902,0.81344,0.04654,4.07924
ZCCHC8,0.72905,0.07559,0.83102,0.03521,4.77506
BUB1,0.72897,0.11914,0.77537,0.00791,4.89482
ZMYM2,0.72884,0.07413,0.80046,0.03451,5.15854
LAP3,0.72882,0.09683,0.80019,0.03311,4.58591
ACAP2,0.72862,0.09118,0.76972,0.05521,4.67794
TMEM87A,0.72832,0.09603,0.76621,0.02617,5.08827
RNF38,0.72816,0.12342,0.7577,0.02411,4.53564
SENP6,0.72772,0.10997,0.78661,0.03661,4.27846
ERGIC2,0.72763,0.09273,0.7698,0.0248,5.16802
SYPL1,0.7276,0.10751,0.80303,0.03032,4.30108
MLX,0.72728,0.09401,0.75097,0.03032,5.18979
MIS18BP1,0.72719,0.11049,0.74965,0.02206,4.96164
PDPK1,0.72708,0.08404,0.77681,0.03311,5.1742
RPP21,0.72668,0.04356,0.82117,0.05376,5.28856
ZNF850,0.72625,0.1244,0.76964,0.05813,3.63391
ARMC8,0.7262,0.08913,0.79327,0.02755,5.0173
CLASP1,0.72609,0.10828,0.8282,0.12179,-0.91032
TMEM9,0.726,0.07128,0.83211,0.03943,4.87237
HAUS6,0.72523,0.10796,0.68653,0.03521,5.20213
NUP133,0.7251,0.0943,0.77441,0.03381,4.96437
FANCI,0.72478,0.09642,0.75362,0.03102,5.1643
MIER1,0.7247,0.07464,0.80893,0.02824,5.26694
ATMIN,0.72464,0.08193,0.83621,0.04511,4.48566
NSMCE2,0.72462,0.07982,0.77939,0.05376,5.01336
TSNAX,0.72454,0.08717,0.82301,0.06774,4.14198
PCID2,0.72429,0.08636,0.81279,0.04369,4.66964
NANS,0.7242,0.06057,0.83794,0.02755,5.29115
SH3GLB1,0.72374,0.09294,0.76863,0.03731,5.01941
ACOT13,0.72334,0.11056,0.83259,0.05448,3.23417
MCMBP,0.7231,0.08813,0.80431,0.04084,4.76368
GBF1,0.72284,0.12086,0.82333,0.07148,2.24087
BLOC1S6,0.72269,0.11225,0.78227,0.05086,4.14274
CCDC93,0.72182,0.1255,0.77661,0.08826,2.87718
SRFBP1,0.7217,0.09828,0.80368,0.05813,4.2508
NUP155,0.72166,0.09202,0.78389,0.03591,4.98124
NDRG3,0.72128,0.09222,0.78558,0.0487,4.76304
OXSR1,0.72105,0.08701,0.81015,0.05594,4.57328
FIBP,0.72068,0.08515,0.75908,0.0487,5.20834
PATL1,0.71911,0.10745,0.84127,0.05376,3.43837
DNAJB12,0.71881,0.09927,0.75393,0.05303,4.87107
SHCBP1,0.71765,0.11896,0.80097,0.03521,4.17748
REV3L,0.7164,0.10328,0.79208,0.04297,4.61052
ARHGAP21,0.71577,0.11155,0.75704,0.05448,4.56869
C4ORF46,0.71577,0.07752,0.83298,0.07828,4.41685
PRKRA,0.71571,0.10966,0.77973,0.07676,4.03473
EBAG9,0.71547,0.09684,0.8165,0.07374,4.09052
STX18,0.71501,0.06514,0.80063,0.07223,5.17774
SKA1,0.7145,0.08358,0.83042,0.03872,4.84931
MTOR,0.7144,0.08143,0.80171,0.03311,5.30483
USP37,0.71363,0.09834,0.78544,0.076,4.42998
ATP2C1,0.71361,0.10943,0.81782,0.03241,4.41425
FBXO28,0.71276,0.12063,0.74681,0.03241,4.87224
ZW10,0.71271,0.10797,0.81823,0.10238,3.11908
TOLLIP,0.71208,0.09593,0.80862,0.05303,4.61661
POLR3A,0.712,0.11498,0.75108,0.05014,4.69594
PPP2R2A,0.71191,0.09035,0.84153,0.01325,5.17841
CCNH,0.71176,0.08663,0.79036,0.09527,4.5476
FAM210A,0.71163,0.1096,0.75607,0.02274,5.26632
SUV39H2,0.71146,0.11673,0.74437,0.10079,4.03788
PHF20,0.71116,0.12206,0.82738,0.06551,3.14102
LOC728554,0.71106,0.11847,0.63393,0.07828,4.98013
GOLGA5,0.71079,0.10045,0.78843,0.05594,4.66995
NECAP2,0.71042,0.12045,0.79294,0.0596,3.9866
MAP3K7,0.71034,0.10182,0.79071,0.05231,4.67828
NELFA,0.71032,0.08324,0.78389,0.05086,5.23892
ANKRD40,0.7103,0.08705,0.83478,0.03032,4.96838
LEO1,0.71025,0.12012,0.71774,0.02617,5.24953
PPP2CB,0.71006,0.12007,0.76419,0.0248,4.97131
METTL13,0.71003,0.11758,0.70242,0.03241,5.27728
RPRD1B,0.70998,0.11551,0.81308,0.06033,3.86245
RNGTT,0.70963,0.11827,0.79646,0.08133,3.61933
RTN3,0.70943,0.09665,0.67048,0.09136,5.23538
COA5,0.70933,0.06957,0.81052,0.06181,5.22174
ZNF320,0.70879,0.07718,0.83983,0.11119,4.14527
STYX,0.70829,0.11016,0.76562,0.03381,5.02679
ATAD1,0.70829,0.10463,0.78514,0.03591,4.95574
EPS15,0.70791,0.08566,0.78134,0.04942,5.2695
ARID2,0.70723,0.11545,0.80355,0.04155,4.40953
ZCCHC9,0.70601,0.09106,0.78997,0.05014,5.10094
ADIPOR2,0.70592,0.09702,0.81475,0.02963,5.03938
RALGAPB,0.70495,0.12621,0.79121,0.09921,3.26563
G2E3,0.70476,0.11918,0.77,0.02617,5.00952
ZC3HC1,0.70473,0.11051,0.74989,0.05521,4.9102
SPECC1,0.70472,0.10182,0.78116,0.0444,5.01125
ISG20L2,0.70436,0.08371,0.80747,0.03943,5.30626
WDR73,0.70363,0.09637,0.77562,0.06402,4.9754
PWP2,0.70336,0.12154,0.77975,0.02963,4.81439
NGLY1,0.70179,0.11339,0.77175,0.07525,4.4541
NME6,0.7015,0.09389,0.82257,0.06476,4.61255
RSBN1,0.70141,0.11404,0.74003,0.0798,4.6933
AUNIP,0.70041,0.09517,0.82195,0.0487,4.81991
ANGEL2,0.69922,0.11334,0.82113,0.12675,3.03735
NFU1,0.69907,0.07935,0.8049,0.09449,4.90805
POP1,0.6976,0.08091,0.83008,0.06625,4.96503
HAUS8,0.69722,0.09508,0.81557,0.08517,4.51395
TDP2,0.69708,0.10187,0.83392,0.04155,4.69634
NDUFAF1,0.6968,0.08601,0.83698,0.07525,4.64871
RNF8,0.69677,0.08798,0.81595,0.12509,4.31739
DIAPH1,0.69599,0.09261,0.81936,0.03241,5.25803
PDE12,0.69546,0.12655,0.81817,0.05813,3.9677
VKORC1L1,0.6944,0.09281,0.84152,0.06328,4.60751
CDC37L1,0.69431,0.1204,0.84132,0.09921,2.87648
SEC24C,0.69337,0.10696,0.82394,0.0248,5.09083
NDUFAF7,0.69336,0.08894,0.83889,0.03241,5.20959
PARPBP,0.69281,0.10993,0.79537,0.0574,4.7649
ARHGEF7,0.69261,0.09511,0.7833,0.05376,5.30851
SAR1B,0.69205,0.09845,0.80519,0.04942,5.0978
INIP,0.69192,0.12287,0.78233,0.08209,4.25857
RNF111,0.69174,0.09586,0.82008,0.04511,5.09171
RNF216,0.69136,0.10737,0.79844,0.03943,5.1
RPUSD4,0.69109,0.1109,0.75665,0.0444,5.29752
Mar-05,0.69065,0.12088,0.8095,0.08286,4.01185
ZBTB43,0.68994,0.11345,0.82695,0.08133,4.0381
SLC35E1,0.68878,0.08836,0.83938,0.07298,4.76902
ELP3,0.68877,0.10449,0.7831,0.06107,5.07968
TMEM242,0.68874,0.08744,0.80522,0.09684,4.90602
POLE,0.68834,0.10895,0.78626,0.05667,4.99014
ATAD5,0.68831,0.08827,0.82084,0.06923,5.03775
EDC3,0.68816,0.08288,0.82922,0.04942,5.32514
MMS19,0.68678,0.10822,0.80094,0.06699,4.77973
PTPN1,0.6865,0.08608,0.82156,0.06774,5.15793
UXS1,0.68575,0.11492,0.80196,0.04583,4.90527
POLR3F,0.6855,0.0989,0.8362,0.07904,4.52629
ANKFY1,0.6844,0.11996,0.78088,0.07828,4.60392
CREB1,0.68415,0.1267,0.73086,0.07752,4.90577
NUPL1,0.68373,0.12587,0.80495,0.03661,4.83058
INTS4,0.6829,0.09249,0.78034,0.08903,5.20483
MBD1,0.68282,0.10278,0.83808,0.06402,4.65429
ZNF286A,0.68246,0.10468,0.75509,0.09449,5.0954
DIEXF,0.68138,0.08314,0.82763,0.06774,5.27572
KRIT1,0.68131,0.11542,0.76471,0.06181,5.13417
RMDN3,0.68072,0.12318,0.79355,0.06107,4.72857
LRRFIP2,0.68021,0.10828,0.83782,0.04084,4.89948
DDX28,0.67891,0.08774,0.81322,0.07828,5.23191
DSCC1,0.67794,0.12457,0.82787,0.05886,4.41537
SLC39A9,0.67628,0.1124,0.81069,0.03661,5.2374
C5ORF22,0.67567,0.12285,0.8238,0.076,4.30738
PRRC1,0.6746,0.10193,0.80335,0.06402,5.22932
NCAPD3,0.66567,0.11338,0.82786,0.08517,4.65368
ESYT2,0.66334,0.11554,0.81404,0.06848,5.00857
ZFYVE20,0.66292,0.11145,0.76431,0.12841,5.01912
VRK3,0.66147,0.11722,0.84138,0.06699,4.73808
NSF,0.66041,0.11414,0.81127,0.10238,4.77035
C16ORF70,0.65876,0.11725,0.80175,0.07676,5.10202
FAM135A,0.65781,0.10614,0.83038,0.10238,4.83007
CHD6,0.65694,0.12394,0.78899,0.06774,5.22516
